INSTANCE,NR_SEQUENCES,MEAN_SEQ_LENGTH,NR_CLUSTERS_BEFORE_MINCLUSTERS,NR_CLUSTERS_MINCLUSTERS,TIME_TRACING_MINCLUSTERS,NR_SHARED_HOMOLOGIES_MINCLUSTERS,NR_HOMOLOGIES_REF,NR_HOMOLOGIES_MINCLUSTERS,NR_ALIGNED_COLS_REF,NR_ALIGNED_COLS_MINCLUSTERS,SPFN_MINCLUSTERS,SPFP_MINCLUSTERS,NR_CLUSTERS_BEFORE_CP,NR_CLUSTERS_CP,TIME_TRACING_CP,NR_SHARED_HOMOLOGIES_CP,NR_HOMOLOGIES_CP,NR_ALIGNED_COLS_CP,SPFN_CP,SPFP_CP
ROSE-1000S1-R13-rose.aln.true.fasta,1000,139.004,139,139,0.022965192794799805,46721469,68829893,65874404,232,634,0.32120381183797564,0.290749271902331,139,139,28.863776683807373,46721469,65874404,634,0.32120381183797564,0.290749271902331
ROSE-1000L2-R0-rose.aln.true.fasta,1000,139.956,141,141,0.0170438289642334,64179352,69458359,68831593,235,292,0.0760024722150433,0.06758874518565916,141,141,34.17958903312683,64179352,68831593,292,0.0760024722150433,0.06758874518565916
ROSE-1000S2-R1-rose.aln.true.fasta,1000,190.416,190,190,0.02032756805419922,87850189,94804423,94548754,238,304,0.07335347634571865,0.07084773428108848,190,190,55.266331911087036,87850189,94548754,304,0.07335347634571865,0.07084773428108848
ROSE-1000M1-R3-rose.aln.true.fasta,1000,78.701,78,78,0.016007661819458008,28002430,38869275,37508263,191,443,0.2795741623686061,0.2534330368751013,78,78,9.481711387634277,28002430,37508263,443,0.2795741623686061,0.2534330368751013
ROSE-1000M1-R12-rose.aln.true.fasta,1000,95.534,96,96,0.016184091567993164,34880667,47014438,45908850,180,401,0.2580860585848117,0.2402191080804681,96,96,14.021469354629517,34880667,45908850,401,0.2580860585848117,0.2402191080804681
ROSE-1000L1-R11-rose.aln.true.fasta,1000,72.678,72,72,0.014032840728759766,28821064,35807769,35103200,183,343,0.19511701496957268,0.17896191800177763,72,72,7.980040550231934,28821064,35103200,343,0.19511701496957268,0.17896191800177763
ROSE-1000L3-R10-rose.aln.true.fasta,1000,63.29,63,64,0.022161006927490234,28353707,30932073,30872758,193,243,0.08335574534561585,0.08159462138108942,63,64,6.375694036483765,28162031,30671506,244,0.08955242023384591,0.08181779531790845
ROSE-1000M3-R0-rose.aln.true.fasta,1000,152.115,155,156,0.018216371536254883,73557939,75301479,75153252,237,240,0.023154126893045524,0.021227464647837202,155,156,47.88488268852234,73557939,75153252,240,0.023154126893045524,0.021227464647837202
ROSE-1000M1-R13-rose.aln.true.fasta,1000,70.34,70,70,0.023900270462036133,28670109,34629944,34372377,198,261,0.1721006248234187,0.16589681883216867,70,70,9.768556356430054,28670109,34372377,261,0.1721006248234187,0.16589681883216867
ROSE-1000M4-R5-rose.aln.true.fasta,1000,110.056,122,124,0.01114344596862793,52990268,54395490,54399081,203,181,0.025833428469897002,0.025897735294462043,122,124,21.17909526824951,52990268,54399081,181,0.025833428469897002,0.025897735294462043
